feature,importance
forecast_load,103515181.3366394
forecast_residual_load,40102893.55453491
lag_24h_day_ahead_price,11068012.96585083
roll_168h_std_day_ahead_price,6515146.424438477
roll_168h_mean_day_ahead_price,5218697.470397949
lag_168h_day_ahead_price,4970744.967407227
month,4346758.39074707
roll_24h_std_day_ahead_price,2413620.7220458984
forecast_wind,2237191.812072754
lag_48h_day_ahead_price,2042940.5209350586
day_of_week,2039316.649597168
roll_24h_mean_day_ahead_price,1828211.157043457
forecast_solar,1693957.6463012695
lag_48h_forecast_load,1418869.4087524414
hour_cos,1406091.8549804688
wind_x_solar,1102410.2403259277
hour_x_dow,1016969.2572631836
lag_24h_forecast_load,1001379.5020751953
lag_168h_forecast_load,850471.2554321289
is_weekend,657755.2707519531
dow_cos,402088.8794555664
hour,346047.9719238281
dow_sin,225570.08068847656
hour_sin,119540.92193603516
